           Name|           Year|      Min grade|                     Hash|
-------------------------------------------------------------------------
         Loreta|              6|              6|              98069492628|
         Loreta|              6|              6|              98069492628|
         Justas|              5|              6|              92920010728|
         Justas|              5|              6|              92920010728|
        Kevinas|              4|              4|               9136435028|
        Kevinas|              4|              4|               9136435028|
        Kevinas|              4|              4|               9136435028|
        Kevinas|              4|              4|               9136435028|
       Ovidijus|              0|              3|                844362138|
       Ovidijus|              0|              3|                844362138|
         Selena|              2|              2|              76322191128|
         Selena|              2|              2|              76322191128|
         Selena|              2|              2|                763221911|
          Osama|              4|              3|             641569716728|
          Osama|              4|              3|             641569716028|
          Osama|              4|              3|             641569716028|
         Raimis|              0|              9|              60500321038|
         Raimis|              0|              9|              60500321028|
         Raimis|              0|              9|                605003210|
         Kriste|              3|              1|              60343490738|
         Kriste|              3|              1|              60343490728|
         Kriste|              3|              1|                603434907|
